title,theme,year,shp_zip,geojson,csv,kml,rest,landing
Puntos criticos 2024,Puntos criticos,2024,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6d889a99a438464685179f11533d889f/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6d889a99a438464685179f11533d889f/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6d889a99a438464685179f11533d889f/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6d889a99a438464685179f11533d889f/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2024/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/6d889a99a438464685179f11533d889f_0
Puntos criticos 2023,Puntos criticos,2023,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/b924fd49396d40f0b01fd3d33cb91b48/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/b924fd49396d40f0b01fd3d33cb91b48/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/b924fd49396d40f0b01fd3d33cb91b48/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/b924fd49396d40f0b01fd3d33cb91b48/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2023/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/b924fd49396d40f0b01fd3d33cb91b48_0
Puntos criticos 2022,Puntos criticos,2022,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/1a12f4dd181245dda58ff254dd04a5fd/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/1a12f4dd181245dda58ff254dd04a5fd/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/1a12f4dd181245dda58ff254dd04a5fd/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/1a12f4dd181245dda58ff254dd04a5fd/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2022/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/1a12f4dd181245dda58ff254dd04a5fd_0
Puntos criticos 2020,Puntos criticos,2020,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/a89e2d03c3c74aa193ce7d3c8232ba1b/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/a89e2d03c3c74aa193ce7d3c8232ba1b/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/a89e2d03c3c74aa193ce7d3c8232ba1b/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/a89e2d03c3c74aa193ce7d3c8232ba1b/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2020/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/a89e2d03c3c74aa193ce7d3c8232ba1b_0
Puntos criticos 2021,Puntos criticos,2021,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/77434159d6f641d8a30bf5c939663faa/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/77434159d6f641d8a30bf5c939663faa/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/77434159d6f641d8a30bf5c939663faa/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/77434159d6f641d8a30bf5c939663faa/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Puntos_criticos_2021/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/77434159d6f641d8a30bf5c939663faa_0
Siniestros de tipo atropello 2020,Atropellos,2020,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/68928572204d440ba01f0e3c67f01de1/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/68928572204d440ba01f0e3c67f01de1/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/68928572204d440ba01f0e3c67f01de1/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/68928572204d440ba01f0e3c67f01de1/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2020/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/68928572204d440ba01f0e3c67f01de1_0
Siniestros de tipo atropello 2021,Atropellos,2021,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/5e98bd21866b40a9a4e42c73ce1748bb/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/5e98bd21866b40a9a4e42c73ce1748bb/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/5e98bd21866b40a9a4e42c73ce1748bb/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/5e98bd21866b40a9a4e42c73ce1748bb/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2021/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/5e98bd21866b40a9a4e42c73ce1748bb_0
Siniestros de tipo atropello 2022,Atropellos,2022,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/dfcca3d5862048198133397e44ee49a7/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/dfcca3d5862048198133397e44ee49a7/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/dfcca3d5862048198133397e44ee49a7/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/dfcca3d5862048198133397e44ee49a7/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2022/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/dfcca3d5862048198133397e44ee49a7_0
Siniestros de tipo atropello 2023,Atropellos,2023,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6d8fb5c2774745fd86b2e0be62c54946/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6d8fb5c2774745fd86b2e0be62c54946/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6d8fb5c2774745fd86b2e0be62c54946/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6d8fb5c2774745fd86b2e0be62c54946/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2023/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/6d8fb5c2774745fd86b2e0be62c54946_0
Siniestros de tipo atropello 2024,Atropellos,2024,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6249efd0358c4c309b9ec4b47c7ba280/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6249efd0358c4c309b9ec4b47c7ba280/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6249efd0358c4c309b9ec4b47c7ba280/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/6249efd0358c4c309b9ec4b47c7ba280/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Atropellos_2024/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/6249efd0358c4c309b9ec4b47c7ba280_0
Siniestros con participación de bicicletas 2024,Siniestros bicicletas,2024,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/343d1f67f3014d598629b6e442f060d1/shapefile?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/343d1f67f3014d598629b6e442f060d1/geojson?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/343d1f67f3014d598629b6e442f060d1/csv?layers=0,https://mapas-conaset.opendata.arcgis.com/api/download/v1/items/343d1f67f3014d598629b6e442f060d1/kml?layers=0,https://services3.arcgis.com/vaJl1B5HEzZj7154/arcgis/rest/services/Bici_2024/FeatureServer/0,https://mapas-conaset.opendata.arcgis.com/datasets/343d1f67f3014d598629b6e442f060d1_0
